baseMean	log2FoldChange	lfcSE	pvalue	padj
gene-YER062C	16754.6010760815	7.87017972677545	0.397689138799584	2.58878971172336e-88	1.5178074079834e-84
gene-YDR536W	10087.5863662729	7.83533265758883	0.401283047410692	3.64923550001348e-86	1.06977338682895e-82
gene-YHR094C	8548.05185689083	7.84067644307417	0.427337367000559	1.81017573764242e-76	3.53768678326584e-73
gene-YNL065W	2113.46297828043	7.73621638982811	0.463547843986931	8.2783459347088e-64	1.21339855537994e-60
gene-YLR264W	1388.81661671084	6.43280212236152	0.423124208634707	2.71481908361444e-53	3.18339685744629e-50
gene-YJL122W	1290.94594030445	6.46040801143244	0.425482847843264	3.90543955254356e-53	3.81626534942715e-50
gene-YKL120W	1727.94971303061	7.19200333444462	0.482240881294128	1.60114060284361e-51	1.34106962206744e-48
gene-YGR159C	8022.20413669937	6.70924678878097	0.451361275444737	4.00673026273774e-51	2.93643244130392e-48
gene-YNL112W	5330.9086232397	7.3009008294411	0.49858725148282	1.14281853610607e-49	7.44482786354431e-47
gene-YOR271C	1052.34529973381	6.78404932455632	0.468880306116175	1.83532064782656e-48	1.07604849582071e-45
gene-YJL108C	957.519594922253	5.93261209121339	0.417211317276732	4.59675363105072e-47	2.45006968535003e-44
gene-YOR360C	1923.50201593862	5.60184842012854	0.395722482833565	1.18723145963873e-46	5.80061503988488e-44
gene-YJL107C	846.814029080806	6.11742090873942	0.435049257323998	5.11665854844813e-46	2.30761300535011e-43
gene-YOL136C	1162.77031779565	5.65744450539708	0.405650422116983	2.31613352933561e-45	9.69963634463905e-43
gene-YOL124C	593.85575370554	7.72729574086328	0.558949368237695	3.97413097850176e-44	1.55335532846372e-41
gene-YBR299W	15030.8363470326	-5.52995586295903	0.403532695723604	4.40317864762619e-44	1.61348977568952e-41
gene-YER127W	730.766830217819	5.92264847432111	0.432474179144856	9.09056773515279e-44	3.13517639007063e-41
gene-YCR072C	700.716828105992	5.83620842318745	0.430073141894687	4.66636050188736e-43	1.51993731236476e-40
gene-YML043C	521.376404794986	6.3456686703371	0.477323712710758	1.5052706030512e-41	4.64494818194168e-39
gene-YEL026W	2043.03690480672	5.31721972102004	0.399634872523386	1.64406919334168e-41	4.81958884028114e-39
gene-YGR079W	1513.81580166454	5.27381056679515	0.398606194190829	4.06326840977087e-41	1.13442584221365e-38
gene-YMR300C	1596.6286245894	5.74773313652169	0.435614666020544	6.35979096877007e-41	1.69488429317722e-38
gene-YHR066W	1306.62014776715	5.53401064703021	0.419946456087651	9.2095447550412e-41	2.24981503745027e-38
gene-YNL141W	2899.2044640866	6.40551217489231	0.48603234304258	8.93678935519888e-41	2.24981503745027e-38
gene-YLR327C	14488.6195516924	-4.97011284113301	0.379908464590608	2.62815587662442e-40	6.16355116185959e-38
gene-YOR359W	478.15800313794	6.28957194047252	0.480762832921606	4.13154582013333e-40	9.31663582440065e-38
gene-YJL148W	1278.92098601793	5.17267740785721	0.396332256451344	4.49221544898538e-40	9.75476265829677e-38
gene-YLR180W	1932.23389817551	6.68672678192073	0.512849063503969	5.90850620807846e-40	1.23719899635586e-37
