# Program:featureCounts v2.0.0; Command:"featureCounts" "-g" "gene_id" "-a" "gen_ann.gtf" "-o" "feature_counts_fr4" "/content/out816.bam" "/content/out817.bam" "/content/out818.bam" "/content/out819.bam" 
Geneid	/content/out816.bam	/content/out817.bam	/content/out818.bam	/content/out819.bam
gene-YAL068C	13	16	2	6
gene-YAL067W-A	0	0	0	0
gene-YAL067C	117	69	5	11
gene-YAL065C	11	3	2	3
gene-YAL064W-B	1	3	0	0
gene-YAL064C-A	0	0	1	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	14	36	2	4
gene-YAL062W	7630	1097	131	162
gene-YAL061W	1914	1945	32	82
gene-YAL060W	4102	4844	85	334
gene-YAL059W	135	256	528	1679
gene-YAL058W	85	138	55	196
gene-YAL056W	1416	1173	26	79
gene-YAL055W	227	212	12	37
gene-YAL054C	23273	6377	158	125
gene-YAL053W	1928	774	387	924
gene-YAL051W	521	474	63	198
gene-YAL049C	2665	2406	67	295
gene-YAL048C	254	226	28	86
gene-YAL047C	101	123	24	86
gene-YAL046C	38	193	27	152
gene-YAL044W-A	519	462	25	124
gene-YAL044C	805	1524	141	437
gene-YAL043C	636	686	126	543
gene-YAL042W	422	855	140	594
gene-YAL041W	166	364	124	398
gene-YAL040C	858	612	276	741
gene-YAL039C	749	1035	139	354
gene-YAL038W	37702	18069	3979	11021
gene-YAL037C-A	25	20	6	12
gene-YAL037W	42	51	18	54
gene-YAL036C	183	248	452	1605
gene-YAL035W	1458	2132	936	2934
gene-YAL034W-A	71	136	14	47
gene-YAL034C	4054	2096	95	330
gene-YAL033W	64	117	33	203
gene-YAL032C	86	181	78	249
gene-YAL031C	485	461	49	163
gene-YAL030W	758	795	39	174
gene-YAL029C	280	531	174	547
gene-YAL028W	214	162	6	36
gene-YAL027W	340	460	20	70
gene-YAL026C	222	326	59	236
gene-YNCA0001W	5	6	0	2
gene-YAL025C	135	257	851	2899
gene-YAL024C	42	95	32	102
gene-YAL023C	476	1403	330	1160
gene-YAL022C	33	56	36	108
gene-YAL021C	798	830	110	352
gene-YAL020C	253	309	15	109
gene-YAL019W	207	289	147	461
gene-YAL018C	0	0	0	1
gene-YAL017W	2359	1720	26	91
gene-YAL016W	3910	4018	142	615
gene-YAL015C	232	460	34	212
gene-YAL014C	274	466	43	200
gene-YAL013W	456	700	157	536
gene-YAL012W	106	234	855	3012
gene-YAL011W	150	202	78	257
gene-YAL010C	184	238	19	103
gene-YAL009W	112	91	32	141
gene-YAL008W	1415	985	41	105
gene-YAL007C	118	509	58	267
gene-YNCA0002W	0	0	0	1
gene-YAL005C	40899	112805	726	4360
gene-YAL003W	4651	11946	2718	9869
gene-YNCA0003W	18	91	23	52
gene-YAL002W	412	311	107	382
gene-YAL001C	684	696	27	114
gene-YAR002W	284	432	279	1034
gene-YAR002C-A	679	1607	103	417
gene-YAR003W	89	166	41	176
gene-YAR007C	241	851	7	51
gene-YAR008W	62	156	14	41
gene-YAR009C	1	0	0	0
gene-YAR010C	0	0	0	0
gene-YNCA0004W	0	2	0	1
gene-YAR014C	474	468	279	735
gene-YAR015W	889	1651	664	1201
gene-YAR018C	196	318	19	102
gene-YAR019C	317	442	43	107
gene-YAR020C	13	7	0	13
gene-YAR023C	165	208	12	34
gene-YNCA0005W	0	0	0	0
gene-YNCA0006C	0	0	0	0
gene-YAR027W	816	670	20	96
gene-YAR028W	267	297	14	54
gene-YAR029W	71	62	7	30
gene-YAR031W	30	26	2	7
gene-YAR033W	69	23	0	2
gene-YAR035W	8902	2719	77	108
gene-YAR035C-A	14	7	0	0
gene-YAR042W	1338	856	80	220
gene-YAR050W	258	157	6	13
gene-YAR061W	12	18	1	1
gene-YAR064W	2	5	0	4
gene-YAR066W	1	2	0	2
gene-YAR068W	14	102	3	6
gene-YAR071W	58	38	2	20
gene-YBL113C	318	358	9	39
gene-YBL112C	0	0	0	0
gene-YBL111C	12	54	0	0
gene-YBL108C-A	7	3	0	0
gene-YNCB0001W	1	0	0	1
gene-YBL107C	261	362	41	128
gene-YBL106C	267	204	14	74
gene-YBL105C	2028	1530	129	420
gene-YBL104C	219	338	55	223
gene-YBL103C	567	373	56	255
gene-YBL102W	810	833	46	244
gene-YBL101C	844	547	43	135
gene-YBL100W-C	18	14	1	2
gene-YBL100W-A	0	0	0	0
gene-YBL100W-B	19	12	7	28
gene-YNCB0002W	0	1	0	0
gene-YBL099W	10487	17862	284	1190
gene-YBL098W	135	307	26	130
gene-YBL097W	29	81	6	22
gene-YBL095W	433	667	276	1025
gene-YBL093C	299	278	647	1882
gene-YBL092W	1984	4223	4148	17989
gene-YBL091C-A	107	239	12	61
gene-YBL091C	1411	2269	251	1082
gene-YBL090W	342	879	78	274
gene-YBL089W	64	81	71	241
gene-YBL088C	569	447	66	299
gene-YBL087C	295	863	1245	5095
gene-YBL086C	676	592	58	197
gene-YBL085W	221	357	58	204
gene-YBL084C	539	382	147	375
gene-YBL082C	207	470	96	394
gene-YBL081W	21	51	232	739
gene-YBL080C	64	157	6	68
gene-YBL079W	296	454	200	737
gene-YBL078C	4826	2480	72	136
gene-YBL076C	384	954	974	3000
gene-YBL075C	23705	3072	301	384
gene-YBL074C	192	98	38	95
gene-YNCB0003W	4	8	1	8
gene-YBL072C	2046	3051	1655	6004
gene-YBL071C-B	7	9	10	37
gene-YBL071W-A	329	167	214	798
gene-YBL071C	143	89	88	376
gene-YBL069W	135	191	235	833
gene-YBL068W	286	522	311	1167
gene-YBL067C	997	676	91	347
gene-YBL066C	509	823	68	209
gene-YBL064C	11484	7175	155	609
gene-YBL063W	71	116	9	48
gene-YBL061C	157	186	142	537
gene-YBL060W	159	191	50	190
gene-YBL059C-A	220	564	14	97
gene-YBL059W	38	102	20	63
gene-YBL058W	2716	2623	126	567
gene-YBL057C	170	372	72	356
gene-YBL056W	480	1373	198	659
gene-YBL055C	291	278	108	315
gene-YBL054W	306	200	400	1118
gene-YBL052C	75	89	39	124
gene-YBL051C	556	876	71	208
gene-YBL050W	2186	1828	167	597
gene-YBL049W	2308	707	132	297
gene-YBL048W	584	202	32	103
gene-YBL047C	2404	2294	89	310
gene-YBL046W	213	286	43	145
gene-YBL045C	7555	10001	201	756
gene-YBL044W	2	1	1	7
gene-YBL043W	103	167	38	89
gene-YBL042C	356	201	907	2292
gene-YBL041W	2479	2986	210	905
gene-YBL040C	325	532	85	364
gene-YBL039W-B	268	210	3	13
gene-YBL039C	46	148	1361	4388
gene-YBL038W	437	938	118	453
gene-YBL037W	261	297	26	127
gene-YBL036C	546	567	250	1036
gene-YBL035C	33	149	17	44
gene-YBL034C	118	147	21	140
gene-YBL033C	614	758	392	1021
gene-YBL032W	143	289	103	376
gene-YBL031W	4	25	3	30
gene-YBL030C	2374	8139	407	1485
gene-YBL029C-A	1682	1696	75	203
gene-YBL029W	456	411	460	1220
gene-YBL028C	53	83	524	1967
gene-YBL027W	2512	4875	3565	14855
gene-YBL026W	621	702	179	591
gene-YBL025W	114	101	56	189
gene-YBL024W	115	290	728	2169
gene-YBL023C	141	327	103	228
gene-YBL022C	810	1634	76	284
gene-YBL021C	44	141	36	134
gene-YBL020W	191	252	78	341
gene-YBL019W	298	368	43	118
gene-YBL018C	28	54	25	95
gene-YBL017C	1100	1302	65	239
gene-YBL016W	42	30	1	5
gene-YBL015W	5094	4123	84	187
gene-YNCB0004W	0	0	0	0
gene-YNCB0005C	0	0	0	0
gene-YBL014C	129	165	160	589
gene-YBL013W	20	23	4	16
gene-YBL011W	199	262	139	470
gene-YBL010C	37	146	19	86
gene-YBL009W	90	285	36	131
gene-YBL008W-A	1	2	1	0
gene-YBL008W	50	70	32	128
gene-YBL007C	1885	1940	115	437
gene-YBL006C	428	609	91	341
gene-YBL005W	183	190	49	179
gene-YBL005W-A	0	0	0	0
gene-YBL005W-B	9	5	1	3
gene-YNCB0006W	0	0	0	0
gene-YBL004W	282	326	460	1468
gene-YBL003C	106	3136	18	1798
gene-YBL002W	76	2029	68	2155
gene-YBL001C	2092	1755	49	159
gene-YBR001C	559	448	63	242
gene-YBR002C	92	100	146	670
gene-YBR003W	75	197	20	87
gene-YBR004C	1133	640	103	330
gene-YBR005W	1199	924	75	284
gene-YBR006W	830	822	23	83
gene-YBR007C	67	116	54	180
gene-YBR008C	250	285	63	185
gene-YBR009C	407	4314	124	2496
gene-YBR010W	828	5732	778	4768
gene-YBR011C	3327	6562	780	3331
gene-YBR012W-A	0	0	0	0
gene-YBR012W-B	64	3	1	3
gene-YBR013C	25	18	24	57
gene-YNCB0007W	0	0	0	0
gene-YBR014C	349	490	161	558
gene-YBR015C	586	936	248	795
gene-YBR016W	1781	1474	88	346
gene-YBR017C	460	638	322	1095
gene-YBR018C	24	16	1	8
gene-YBR019C	5	4	0	5
gene-YNCB0008W	18	13	8	21
gene-YBR020W	0	0	0	0
gene-YBR021W	132	81	489	1717
gene-YBR022W	98	149	41	133
gene-YBR023C	180	198	171	507
gene-YBR024W	281	519	29	82
gene-YBR025C	6117	6692	1566	5682
gene-YBR026C	12446	7820	174	386
gene-YBR027C	65	24	9	12
gene-YBR028C	33	60	159	475
gene-YBR029C	1170	1410	204	672
gene-YBR030W	148	230	120	405
gene-YBR031W	920	2548	1042	3764
gene-YBR032W	7	8	2	23
gene-YBR033W	122	260	24	188
gene-YBR034C	135	137	706	1685
gene-YBR035C	1673	1998	146	537
gene-YNCB0009C	1	2	2	3
gene-YNCB0010W	836	1420	56	196
gene-YBR036C	3621	3219	232	792
gene-YBR037C	66	272	17	72
gene-YBR038W	398	606	9	64
gene-YBR039W	7836	9492	190	762
gene-YBR040W	0	1	0	1
gene-YBR041W	149	194	57	241
